date,open,high,low,close,volume,amount
2020-04-22,2005.646,2043.558,2002.962,2043.171,9654843009,19726495245541.54
2020-04-23,2053.124,2057.851,2027.334,2029.524,10177088734,20654645835782.613
2020-04-24,2032.554,2038.236,1997.121,2003.748,9817546180,19671888523082.64
2020-04-27,2011.158,2035.889,1995.505,2018.666,8452065145,17061896537996.57
2020-04-28,2023.962,2046.932,1967.399,2030.724,9820254724,19942226954140.176
2020-04-29,2022.506,2053.378,2020.983,2030.477,7403147232,15031920182189.664
2020-04-30,2044.676,2077.807,2043.816,2069.432,9225939470,19092454369281.04
2020-05-06,2052.389,2111.656,2051.292,2110.267,8895810837,18772536047563.477
2020-05-07,2113.752,2116.227,2095.742,2106.842,8773069043,18483470328692.207
2020-05-08,2117.866,2137.786,2112.887,2125.243,8630859800,18342674373931.4
2020-05-11,2137.98,2139.665,2088.658,2102.825,8815888261,18538270232437.324
