date,open,high,low,close,pct_change,volume,amount,turnover,sh_close,sz_close,cyb_close,hs300_close,broker_close,market_amount,stock_return,sh_return,sz_return,cyb_return,hs300_return,broker_return,market_amount_change,stock_volume_change,stock_turnover_change,atr20,volatility20,broker_trend20,market_trend20,amount_trend5
2021-05-12,26.44,28.55,26.16,28.46,6.63169726489321,1238579.0,191045590.0,6.185239529034914,3462.751,14064.865,2960.355,5044.548,759.68,601332462614007.5,0.0663169726489321,0.006074067832804841,0.007022374870093495,0.01335413198655555,0.004277870461431688,-0.0013553110182448203,-0.08650779005231768,1.8554016326737628,1.8554016326737623,1.116,0.02974826360072221,-0.013196586170424629,-0.0007715348992597404,-0.04197627324296149
2021-05-13,28.23,28.57,27.98,28.05,-1.4406184118060494,530890.0,83201922.0,2.6511686485636727,3429.536,13917.65,2943.617,4992.974,755.806,631673416670693.9,-0.014406184118060494,-0.009592084443842519,-0.010466861928642768,-0.005654051625565093,-0.010223710826024357,-0.005099515585509584,0.05045620508294779,-0.5650063366304761,-0.5661163869325112,1.096,0.02860669243523758,-0.01765707743992906,-0.011430177824006127,-0.0065099227206252275
2021-05-14,27.93,31.54,27.93,31.32,11.657754010695175,1723580.0,288456191.0,8.607246810622494,3490.376,14208.783,3033.806,5110.59,811.835,676752262556270.0,0.11657754010695176,0.017740009144094238,0.020918258470359552,0.030638836506243772,0.023556301314607175,0.07411918168323058,0.07136416492428843,2.246585921754036,2.2465859217540363,1.2500000000000002,0.037901679734044416,0.05183292902306014,0.010147399761239573,0.053194210004963605
2021-05-17,30.51,30.93,29.47,29.69,-5.204342273307782,1596813.0,267427132.0,7.974195338429626,3517.616,14456.542,3112.741,5184.985,798.906,645915279608475.0,-0.052043422733077827,0.007804316784208787,0.017437031728896102,0.0260184731653903,0.014557027662168043,-0.015925649916547213,-0.04556613203081972,-0.0735486603464881,-0.07354866034648821,1.3080000000000003,0.04042431475398078,0.03329155274655715,0.022786486381139337,0.004861391207486188
2021-05-18,29.81,31.09,29.49,29.96,0.90939710340181,806244.0,136058712.0,4.026236726803235,3529.014,14450.604,3090.123,5187.601,800.07,555303971076785.1,0.0090939710340181,0.003240262723390064,-0.0004107482965152176,-0.007266264684405166,0.0005045337643214687,0.0014569924371579113,-0.14028358113252004,-0.49509178595114145,-0.49509178595114145,1.3530000000000004,0.04014795409151056,0.03245669513459948,0.020899757969305544,-0.10750882920133131
2021-05-19,29.76,30.86,29.76,29.82,-0.4672897196261738,756533.0,127505528.0,3.777988983035697,3510.965,14484.455,3114.724,5172.272,799.204,580434995643258.0,-0.004672897196261738,-0.00511445973294522,0.0023425318415757346,0.007961171772126852,-0.0029549304196678783,-0.0010824052895372915,0.04525633864591594,-0.06165751311017509,-0.06165751311017498,1.3610000000000002,0.0399825758670959,0.029432714826667983,0.015823087175799833,-0.06080908968897092
2021-05-20,29.82,31.06,29.4,30.68,2.883970489604293,1020780.0,173448892.0,5.097590711975788,3506.944,14535.098,3143.616,5186.412,810.109,642647988874237.0,0.028839704896042928,-0.001145269178131958,0.003496369038393121,0.009275942266473658,0.002733808276131011,0.013644826602469573,0.10718339469182503,0.34928681233997727,0.34928681233997727,1.3285000000000005,0.03635724616221755,0.042173666322624204,0.0176069193343249,0.036176547910793166
2021-05-21,30.68,30.75,29.44,29.49,-3.878748370273799,729525.0,121563397.0,3.6431159154314705,3486.557,14417.457,3113.259,5134.148,795.486,580214009128523.5,-0.03878748370273799,-0.005813323509015311,-0.008093581481184331,-0.009656713797104977,-0.01007710147207741,-0.018050657380673574,-0.09715113223194338,-0.2853259272321166,-0.2853259272321167,1.3270000000000004,0.036668982009247994,0.022511852605568095,0.00685078077909429,-0.03443023444584026
2021-05-24,29.49,31.09,29.49,30.58,3.696168192607674,963312.0,163915974.0,4.810605913061404,3497.282,14506.607,3139.686,5155.588,810.642,604432445481227.6,0.03696168192607674,0.0030761005771597905,0.006183476045740877,0.008488532434982154,0.00417596064624548,0.019052503752423178,0.041740523275334285,0.3204646859257736,0.3204646859257736,1.3525000000000003,0.03738836852313376,0.039952985168545174,0.010492131844363817,0.019955501344831372
2021-05-25,30.34,33.16,30.23,32.46,6.147809025506867,1570311.0,281220290.0,7.841849143315319,3581.342,14846.453,3227.355,5318.478,845.899,677259361620856.4,0.061478090255068674,0.024035808379192725,0.023426980547553322,0.027922855979865435,0.031594844273824974,0.043492688511081345,0.1204880986851169,0.6301167223080373,0.6301167223080373,1.467,0.03925903048869818,0.08080886098212159,0.04008194358160355,0.0976690765564896
2021-05-26,32.73,33.36,31.65,31.82,-1.9716574245224883,1216951.0,218922786.0,6.0772332084578915,3593.357,14793.681,3196.848,5320.593,844.597,696121008624138.2,-0.019716574245224883,0.003354887637092352,-0.003554519049095317,-0.00945263226388171,0.00039767016052327797,-0.0015391908490257622,0.027849961288303415,-0.22502548858156124,-0.22502548858156124,1.5070000000000001,0.03942696519029377,0.07486726532039678,0.038615348194320775,0.08745975323421629
2021-05-27,31.63,32.3,31.33,31.83,0.03142677561280838,878178.0,153926593.0,4.3854621135420695,3608.851,14897.188,3226.108,5338.233,845.778,679456565645018.9,0.0003142677561280838,0.004311845441463236,0.006996703524971171,0.00915276547399202,0.003315419916539497,0.0013983000176416294,-0.02393900309381003,-0.27837850496856487,-0.27837850496856476,1.496,0.03925053180272592,0.07099495968405689,0.03941099006088633,0.04935915291310944
2021-05-28,31.81,32.8,31.29,31.65,-0.5655042412818112,1025011.0,180653105.0,5.118719560799598,3600.784,14852.878,3232.291,5321.089,858.463,728857761011592.1,-0.005655042412818112,-0.002235337507699775,-0.0029743868440137433,0.0019165508408274246,-0.003211549589536511,0.014998025486593347,0.07270692177310245,0.1672018656809895,0.16720186568098927,1.539,0.03938639790224936,0.08040545204772087,0.033752393341549336,0.07624098322942996
2021-05-31,31.47,32.66,31.3,32.52,2.7488151658767945,788804.0,140235685.0,3.9391445208265727,3615.477,14996.377,3309.069,5331.57,858.964,699141911890400.4,0.027488151658767945,0.004080500246612884,0.00966135990614081,0.0237534306162408,0.001969709583883983,0.000583601156951552,-0.040770436580038205,-0.2304433806076227,-0.23044338060762282,1.5584999999999996,0.03950107127162343,0.07462770221081083,0.033656671784765724,0.004272809192602978
2021-06-01,32.33,32.54,31.66,32.27,-0.7687576875768709,767849.0,136482908.0,3.834499040537527,3624.714,15034.779,3300.159,5341.68,845.601,741753434593432.9,-0.007687576875768709,0.0025548496090557204,0.002560751840261055,-0.002692600244963095,0.0018962519483005646,-0.015557112987273136,0.060948316755629506,-0.026565534657532197,-0.026565534657531975,1.5389999999999995,0.03965685113010613,0.053772162789412326,0.03383777426514678,0.04609908239116245
2021-06-02,32.23,35.17,31.88,32.74,1.4564611093895286,1260391.0,231268646.0,6.294164712335543,3597.138,14857.908,3243.022,5289.974,830.109,738155687725366.9,0.014564611093895286,-0.007607772640820798,-0.011764123702782792,-0.017313408232754846,-0.009679726228452479,-0.018320697350168613,-0.0048503272115456575,0.6414568489377468,0.6414568489377468,1.6415,0.039414561515181454,0.03089138538825109,0.022183678343919766,0.028827026900896557
2021-06-03,32.56,33.79,32.08,32.19,-1.6799022602321467,1013501.0,185037787.0,5.061240702382661,3584.212,14761.132,3201.784,5255.286,828.359,690043430119492.4,-0.016799022602321467,-0.0035934123183486433,-0.006513433788929102,-0.012715917437501112,-0.0065573101115431465,-0.0021081568806023965,-0.06517901088608125,-0.19588365832507526,-0.19588365832507537,1.6564999999999999,0.03949021407834666,0.024847915322884218,0.013579529299610371,-0.04106087726855534
2021-06-04,31.83,33.44,30.93,31.31,-2.7337682510096273,1245609.0,218408582.0,6.220346077659681,3591.845,14870.914,3242.612,5282.277,834.857,662213654387005.6,-0.027337682510096273,0.0021296173329032886,0.0074372344885202946,0.012751640960164679,0.005135971667383998,0.00784442494135984,-0.040330469819367165,0.2290160542515498,0.2290160542515498,1.7359999999999995,0.0397846258224395,0.027799411087017,0.01598095395262611,-0.062367779694276426
2021-06-07,31.31,31.99,30.98,31.56,0.7984669434685454,595476.0,103621316.0,2.973699452188027,3599.541,14862.6,3228.243,5277.627,839.955,657055350578164.5,0.007984669434685454,0.002142631433149411,-0.000559077942351105,-0.0044313041461636615,-0.00088030218786328,0.00610643499425656,-0.0077894857266511686,-0.5219398703766591,-0.5219398703766591,1.7464999999999993,0.039344198936582496,0.02840943491322423,0.012310036392892965,-0.0584499439652687
2021-06-08,31.29,32.17,31.16,31.52,-0.12674271229403677,646381.0,113095291.0,3.227909816020711,3580.106,14716.982,3208.572,5232.117,841.528,675275598257869.0,-0.0012674271229403677,-0.005399299521800072,-0.009797612799913868,-0.006093407466538192,-0.008623193719450084,0.0018727193718710566,0.02773015646805388,0.0854862328624495,0.0854862328624495,1.7299999999999998,0.03933046709547475,0.02526290448108437,0.0015725600983218513,-0.01354636325622638
2021-06-09,31.52,31.69,29.96,30.07,-4.600253807106592,860084.0,145315294.0,4.295103949841281,3591.397,14718.402,3207.626,5236.449,832.146,658013312805762.4,-0.04600253807106591,0.0031538172333445136,9.648717379695526e-05,-0.00029483521018069947,0.0008279631361454154,-0.011148767480107735,-0.025563318882899533,0.3306146065555764,0.3306146065555764,1.6969999999999996,0.038739403525699094,0.009376701583921898,0.0005640301151208504,-0.015716735763305456
